Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,22:17:02.085,22:17:02.174,89,3077,0.01,1,1021,110,669,242,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,339,22:17:04.217,22:17:04.457,240,106152,0.48,1,632,136,234,262,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1412.5
4,612,22:17:08.386,22:17:08.640,254,188427,0.86,2,1078,282,310,486,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,2409.448818897638
5,255,22:17:09.861,22:17:10.001,140,80703,0.37,1,486,94,292,100,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1821.4285714285713
6,282,22:17:12.025,22:17:12.217,192,87903,0.4,1,1114,365,381,368,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1468.75
7,376,22:17:14.247,22:17:14.673,426,117512,0.53,1,869,312,197,360,415BBD91477BEC7D20DA51C465B20478F273300B,2074,882.6291079812207
8,346,22:17:16.105,22:17:16.289,184,107278,0.49,1,497,425,0,72,EA6393FA5F2583CC349632097567530677915183,7344,1880.4347826086957
9,136,22:17:17.060,22:17:17.442,382,43487,0.2,1,252,167,0,85,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,356.020942408377
10,314,22:17:18.755,22:17:18.967,212,98913,0.45,1,476,109,177,190,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1481.132075471698
11,237,22:17:20.247,22:17:20.431,184,75684,0.34,1,573,93,238,242,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1288.0434782608695
12,173,22:17:21.619,22:17:21.869,250,56300,0.26,1,616,273,119,224,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,692.0
13,329,22:17:23.361,22:17:23.512,151,103543,0.47,1,608,169,172,267,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,2178.8079470198677
14,151,22:17:24.820,22:17:25.052,232,48832,0.22,1,579,177,198,204,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,650.8620689655172
15,247,22:17:26.557,22:17:26.720,163,77195,0.35,1,707,120,106,481,EA6393FA5F2583CC349632097567530677915183,7344,1515.3374233128834
16,269,22:17:28.064,22:17:28.269,205,84135,0.38,1,622,160,74,388,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1312.1951219512196
17,193,22:17:29.464,22:17:29.597,133,60744,0.28,1,564,153,324,87,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1451.1278195488721
18,385,22:17:31.180,22:17:32.084,904,120528,0.55,1,527,0,395,132,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,425.88495575221236
19,119,22:17:32.954,22:17:33.043,89,38501,0.17,1,365,81,121,163,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,1337.0786516853934
20,263,22:17:34.244,22:17:34.486,242,83450,0.38,1,419,0,221,198,0C7DCA39FE99C7F55965A7151316BF8FBB04AE11,687,1086.7768595041323
21,283,22:17:36.153,22:17:36.487,334,89622,0.41,1,830,337,204,289,EA6393FA5F2583CC349632097567530677915183,7344,847.3053892215569
22,225,22:17:37.665,22:17:37.834,169,70365,0.32,1,469,135,138,196,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1331.360946745562
23,359,22:17:39.981,22:17:40.423,442,112642,0.51,1,1201,481,206,514,E4F41A580F3123D42A2F2B9A50B06E7C6ABDB813,629,812.2171945701357
24,250,22:17:41.550,22:17:41.779,229,79088,0.36,1,274,78,61,135,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1091.703056768559
25,253,22:17:43.099,22:17:43.341,242,79561,0.36,1,515,132,193,190,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1045.4545454545455
26,262,22:17:44.490,22:17:44.696,206,81843,0.37,1,358,127,79,152,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1271.8446601941748
27,305,22:17:47.401,22:17:47.641,240,95673,0.43,1,738,98,132,508,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1270.8333333333335
28,164,22:17:48.904,22:17:49.076,172,52044,0.24,1,436,103,0,333,EA6393FA5F2583CC349632097567530677915183,7344,953.4883720930234
29,353,22:17:51.796,22:17:53.412,1616,109238,0.5,1,1101,84,0,1017,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,218.44059405940592
30,776,22:17:56.322,22:17:59.618,3296,237674,1.08,2,127,0,0,127,3CF676FF63C72F14324F311BA1D4EDD444B51031,545,235.4368932038835
31,550,22:18:01.809,22:18:02.161,352,169198,0.77,3,562,0,0,562,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1562.5
32,288,22:18:08.334,22:18:08.588,254,89545,0.41,2,4239,0,0,4239,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1133.8582677165355
33,154,22:18:12.559,22:18:13.445,886,49210,0.22,1,1874,181,0,1693,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,173.81489841986456
34,331,22:18:15.736,22:18:15.956,220,102928,0.47,1,1208,602,0,606,EA6393FA5F2583CC349632097567530677915183,7344,1504.5454545454545
35,421,22:18:17.009,22:18:20.405,3396,129753,0.59,1,216,109,0,107,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,123.96937573616019

SUMMARY,10000,,,16.73s,,,,,,,,,,597.87
