Timestamp,Mempool Size,Avg Mempool Wait Time,Max Mempool Wait Time
1900-01-01 22:17:01.565000,133,282,577
1900-01-01 22:17:02.598000,307,925,1610
1900-01-01 22:17:03.565000,512,1316,2577
1900-01-01 22:17:04.569000,272,1102,1767
1900-01-01 22:17:05.565000,518,1338,2763
1900-01-01 22:17:06.566000,759,1761,3764
1900-01-01 22:17:07.575000,950,2332,4773
1900-01-01 22:17:08.779000,431,1806,2840
1900-01-01 22:17:09.569000,603,1979,3630
1900-01-01 22:17:10.566000,479,1673,3548
1900-01-01 22:17:11.567000,715,1963,4549
1900-01-01 22:17:12.565000,527,1775,3354
1900-01-01 22:17:13.566000,760,2086,4355
1900-01-01 22:17:14.860000,471,2055,3550
1900-01-01 22:17:15.568000,629,2157,4258
1900-01-01 22:17:16.565000,382,1610,3193
1900-01-01 22:17:17.586000,338,1700,2667
1900-01-01 22:17:18.566000,522,1923,3647
1900-01-01 22:17:19.565000,360,1101,2627
1900-01-01 22:17:20.565000,250,945,1475
1900-01-01 22:17:21.565000,474,1294,2474
1900-01-01 22:17:22.566000,468,1304,2797
1900-01-01 22:17:23.622000,270,1027,1620
1900-01-01 22:17:24.565000,501,1283,2563
1900-01-01 22:17:25.566000,481,1465,2953
1900-01-01 22:17:26.565000,676,1919,3952
1900-01-01 22:17:27.566000,547,1813,3423
1900-01-01 22:17:28.565000,388,1582,2857
1900-01-01 22:17:29.720000,386,1375,2556
1900-01-01 22:17:30.567000,583,1616,3402
1900-01-01 22:17:32.209000,283,1842,2488
1900-01-01 22:17:32.565000,367,1732,2844
1900-01-01 22:17:33.565000,428,1537,3360
1900-01-01 22:17:34.582000,284,1125,1955
1900-01-01 22:17:35.565000,520,1369,2938
1900-01-01 22:17:36.647000,333,1296,2065
1900-01-01 22:17:37.570000,541,1569,2988
1900-01-01 22:17:38.565000,499,1339,3063
1900-01-01 22:17:39.566000,727,1779,4065
1900-01-01 22:17:40.658000,474,1649,2620
1900-01-01 22:17:41.565000,642,2023,3528
1900-01-01 22:17:42.566000,540,1809,3558
1900-01-01 22:17:43.566000,397,1524,2780
1900-01-01 22:17:44.565000,567,1919,3779
1900-01-01 22:17:45.566000,474,1429,3098
1900-01-01 22:17:46.566000,719,1776,4098
1900-01-01 22:17:47.908000,561,1866,3055
1900-01-01 22:17:48.565000,729,2016,3711
1900-01-01 22:17:49.565000,677,2265,4018
1900-01-01 22:17:50.565000,915,2543,5018
1900-01-01 22:17:51.570000,1106,3038,6023
1900-01-01 22:17:53.799000,911,3782,6644
1900-01-01 22:17:53.800000,911,3782,6645
1900-01-01 22:17:54.572000,1077,3912,7417
1900-01-01 22:17:55.568000,1219,4397,8413
1900-01-01 22:17:59.826000,551,5562,8051
1900-01-01 22:17:59.826000,551,5562,8052
1900-01-01 22:18:00.565000,713,4951,8790
1900-01-01 22:18:01.567000,863,5015,9793
1900-01-01 22:18:02.565000,414,1612,2739
1900-01-01 22:18:03.662000,666,1896,3836
1900-01-01 22:18:04.566000,886,2218,4740
1900-01-01 22:18:05.566000,1115,2660,5740
1900-01-01 22:18:06.565000,1194,3471,6739
1900-01-01 22:18:07.565000,1194,4471,7739
1900-01-01 22:18:09.022000,906,5108,7643
1900-01-01 22:18:09.566000,906,5651,8186
1900-01-01 22:18:10.565000,906,6651,9185
1900-01-01 22:18:11.566000,906,7652,10186
1900-01-01 22:18:12.566000,906,8651,11186
1900-01-01 22:18:13.726000,752,9435,11047
1900-01-01 22:18:14.565000,752,10275,11886
1900-01-01 22:18:15.565000,752,11274,12886
1900-01-01 22:18:16.565000,421,11571,12475
1900-01-01 22:18:17.565000,421,12571,13475
1900-01-01 22:18:20.434000,0,0,0
1900-01-01 22:18:20.434000,0,0,0
1900-01-01 22:18:20.565000,0,0,0
1900-01-01 22:18:21.565000,0,0,0
1900-01-01 22:18:22.565000,0,0,0
1900-01-01 22:18:23.565000,0,0,0
1900-01-01 22:18:24.564000,0,0,0
1900-01-01 22:18:25.565000,0,0,0
1900-01-01 22:18:26.566000,0,0,0
