Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,22:20:11.643,22:20:11.700,57,2810,0.01,1,422,112,234,76,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,214,22:20:13.852,22:20:14.034,182,67826,0.31,1,948,277,443,228,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1175.8241758241759
4,714,22:20:18.396,22:20:18.639,243,219318,1.0,2,1078,314,310,454,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,2938.2716049382716
5,290,22:20:20.049,22:20:20.521,472,90952,0.41,1,307,118,105,84,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,614.406779661017
6,267,22:20:21.753,22:20:22.079,326,83083,0.38,1,348,48,183,117,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,819.0184049079754
7,277,22:20:23.593,22:20:23.729,136,87185,0.4,1,652,164,249,239,415BBD91477BEC7D20DA51C465B20478F273300B,2074,2036.7647058823527
8,252,22:20:25.156,22:20:25.335,179,78813,0.36,1,594,281,144,169,EA6393FA5F2583CC349632097567530677915183,7344,1407.8212290502795
9,254,22:20:26.882,22:20:27.022,140,79063,0.36,1,482,170,129,183,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1814.2857142857142
10,219,22:20:28.253,22:20:28.499,246,69170,0.31,1,593,150,356,87,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,890.2439024390244
11,393,22:20:30.008,22:20:30.373,365,122960,0.56,1,532,163,243,126,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1076.7123287671234
12,95,22:20:31.264,22:20:31.598,334,32573,0.15,1,474,133,126,215,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,284.43113772455087
13,314,22:20:33.240,22:20:33.399,159,99023,0.45,1,645,246,168,231,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1974.8427672955975
14,154,22:20:34.372,22:20:34.581,209,49920,0.23,1,407,168,53,186,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,736.8421052631579
15,281,22:20:36.354,22:20:36.557,203,89024,0.4,1,679,236,171,272,EA6393FA5F2583CC349632097567530677915183,7344,1384.2364532019703
16,194,22:20:37.670,22:20:37.802,132,61230,0.28,1,435,53,89,293,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1469.6969696969695
17,266,22:20:39.296,22:20:39.443,147,84479,0.38,1,677,4,328,345,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1809.5238095238096
18,374,22:20:40.960,22:20:41.174,214,117114,0.53,1,556,96,364,96,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1747.6635514018692
19,105,22:20:42.124,22:20:42.263,139,34450,0.16,1,347,154,121,72,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,755.3956834532373
20,366,22:20:44.243,22:20:44.590,347,114779,0.52,1,726,235,204,287,0C7DCA39FE99C7F55965A7151316BF8FBB04AE11,687,1054.7550432276657
21,184,22:20:45.970,22:20:46.190,220,58374,0.27,1,695,117,275,303,EA6393FA5F2583CC349632097567530677915183,7344,836.3636363636364
22,420,22:20:48.033,22:20:48.441,408,131133,0.6,1,753,253,146,354,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1029.4117647058824
23,216,22:20:49.397,22:20:49.798,401,67638,0.31,1,204,67,49,88,E4F41A580F3123D42A2F2B9A50B06E7C6ABDB813,629,538.6533665835411
24,179,22:20:50.718,22:20:50.907,189,56872,0.26,1,328,85,136,107,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,947.089947089947
25,244,22:20:52.610,22:20:52.824,214,77788,0.35,1,716,123,333,260,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1140.1869158878505
26,302,22:20:54.484,22:20:54.641,157,94851,0.43,1,673,235,216,222,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1923.5668789808917
27,301,22:20:56.038,22:20:56.232,194,94906,0.43,1,357,115,59,183,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1551.5463917525772
28,104,22:20:57.521,22:20:57.708,187,33953,0.15,1,866,143,557,166,EA6393FA5F2583CC349632097567530677915183,7344,556.1497326203208
29,314,22:20:59.940,22:21:01.617,1677,97510,0.44,1,587,0,325,262,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,187.2391174716756
30,594,22:21:03.897,22:21:04.309,412,182520,0.83,2,302,194,42,66,3CF676FF63C72F14324F311BA1D4EDD444B51031,545,1441.747572815534
31,73,22:21:07.967,22:21:08.439,472,24650,0.11,1,3088,90,2024,974,3CF676FF63C72F14324F311BA1D4EDD444B51031,545,154.66101694915255
32,875,22:21:11.373,22:21:11.733,360,267938,1.22,2,181,92,0,89,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,2430.5555555555557
33,201,22:21:17.493,22:21:17.668,175,63273,0.29,1,3224,68,0,3156,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,1148.5714285714287
34,419,22:21:19.566,22:21:20.940,1374,129414,0.59,1,127,49,0,78,EA6393FA5F2583CC349632097567530677915183,7344,304.94905385735075
35,385,22:21:25.529,22:21:26.008,479,119112,0.54,1,1257,75,0,1182,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,803.7578288100209
36,1027,22:21:33.807,22:21:38.734,4927,313277,1.42,2,804,0,0,804,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,208.44327176781005
37,214,22:21:45.998,22:21:46.234,236,67212,0.31,1,4037,333,0,3704,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,906.7796610169491
38,715,22:21:48.698,22:21:53.714,5016,219102,1.0,1,223,109,0,114,A7A34A501A3A6FDE7F301F7FA088AD07A4262ADC,431,142.5438596491228
39,1717,22:21:57.233,22:22:02.345,5112,522708,2.37,3,74,0,0,74,B6476D1A1E755C0EA844C4D37E740C17EDB4B345,6018,335.8763693270735
