Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
50,1,21:35:11.947,21:35:11.994,47,2671,0.01,1,365,131,127,107,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,21.27659574468085
51,2,21:35:13.108,21:35:13.156,48,2972,0.01,1,319,101,110,108,EA6393FA5F2583CC349632097567530677915183,7344,41.666666666666664
52,2,21:35:16.125,21:35:16.214,89,2972,0.01,2,655,109,172,374,26071B1B972C8EA6036750896F984362760AD4EC,263,22.471910112359552
53,2,21:35:17.595,21:35:17.659,64,2974,0.01,1,641,338,111,192,26071B1B972C8EA6036750896F984362760AD4EC,263,31.25
54,0,21:35:18.884,21:35:18.985,101,2363,0.01,1,452,224,106,122,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,0.0
55,2,21:35:20.056,21:35:20.168,112,2972,0.01,1,338,119,109,110,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,17.857142857142858
56,3,21:35:22.903,21:35:22.973,70,3275,0.01,2,365,203,80,82,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,42.857142857142854
57,1,21:35:24.019,21:35:24.083,64,2671,0.01,1,311,96,106,109,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,15.625
58,0,21:35:25.224,21:35:25.323,99,2363,0.01,1,367,117,148,102,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,0.0
59,1,21:35:26.439,21:35:26.531,92,2653,0.01,1,349,120,107,122,EA6393FA5F2583CC349632097567530677915183,7344,10.869565217391305
60,1,21:35:27.566,21:35:27.623,57,2656,0.01,1,356,144,110,102,270AE1AAFF5D007C88903B05B34FB40BBA2D2C52,218,17.543859649122805
61,1,21:35:28.869,21:35:28.909,40,2669,0.01,1,466,121,108,237,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,25.0
62,3,21:35:30.122,21:35:30.150,28,3275,0.01,1,429,113,210,106,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,107.14285714285714
63,2,21:35:32.842,21:35:32.882,40,2967,0.01,2,445,128,105,212,EA6393FA5F2583CC349632097567530677915183,7344,50.0
64,1,21:35:34.390,21:35:34.441,51,2671,0.01,1,707,118,109,480,EA6393FA5F2583CC349632097567530677915183,7344,19.607843137254903
65,1,21:35:36.032,21:35:36.060,28,2669,0.01,1,821,435,204,182,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,35.714285714285715
66,2,21:35:37.265,21:35:37.349,84,2972,0.01,1,360,137,105,118,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,23.809523809523807
67,1,21:35:38.700,21:35:38.791,91,2653,0.01,1,615,297,214,104,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,10.989010989010989
68,2,21:35:39.868,21:35:39.970,102,2972,0.01,1,343,118,107,118,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,19.607843137254903
69,2,21:35:41.173,21:35:41.280,107,2972,0.01,1,456,233,123,100,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,18.69158878504673

SUMMARY,125,,,4.79s,,,,,,,,,,26.08
