Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
1,0,21:02:35.214,21:02:39.281,4067,333,0.0,0,0,0,0,0,0CB428130DA48D3CE919557181A130374AA8D8AA,0,0.0
2,0,21:02:39.677,21:02:39.744,67,2883,0.01,1,294,106,79,109,0CB428130DA48D3CE919557181A130374AA8D8AA,0,0.0
3,218,21:02:41.391,21:02:41.759,368,69401,0.32,1,518,91,204,223,6158DEFA4BA11C223F63F9444596188C872EAF75,0,592.3913043478261
4,565,21:02:44.962,21:02:45.155,193,174542,0.79,2,739,283,204,252,2B7E94220DD8C7AD0F1147DF12123853097DF878,0,2927.461139896373
5,326,21:02:46.743,21:02:46.983,240,102030,0.46,1,766,188,150,428,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1358.3333333333335
6,219,21:02:48.756,21:02:48.954,198,68634,0.31,1,886,42,586,258,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1106.060606060606
7,358,21:02:50.642,21:02:50.830,188,111627,0.51,1,718,235,226,257,415BBD91477BEC7D20DA51C465B20478F273300B,2074,1904.2553191489362
8,288,21:02:52.338,21:02:52.552,214,90603,0.41,1,730,102,230,398,EA6393FA5F2583CC349632097567530677915183,7344,1345.7943925233644
9,318,21:02:53.930,21:02:54.358,428,99701,0.45,1,245,64,122,59,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,742.9906542056075
10,208,21:02:55.495,21:02:55.730,235,66352,0.3,1,478,119,51,308,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,885.1063829787234
11,731,21:02:59.820,21:03:00.139,319,224743,1.02,2,825,155,400,270,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,2291.5360501567397
12,199,21:03:01.262,21:03:01.436,174,62827,0.29,1,526,72,224,230,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,1143.6781609195402
13,379,21:03:03.356,21:03:03.674,318,118184,0.54,1,861,328,116,417,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1191.8238993710693
14,260,21:03:04.816,21:03:05.087,271,81493,0.37,1,387,155,64,168,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,959.4095940959409
15,230,21:03:06.562,21:03:06.728,166,72135,0.33,1,785,202,145,438,EA6393FA5F2583CC349632097567530677915183,7344,1385.5421686746988
16,299,21:03:08.101,21:03:08.299,198,93316,0.42,1,585,104,100,381,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1510.10101010101
17,231,21:03:09.839,21:03:10.124,285,73321,0.33,1,896,391,227,278,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,810.5263157894738
18,171,21:03:12.874,21:03:13.000,126,54077,0.25,2,601,205,197,199,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,1357.142857142857

SUMMARY,5000,,,8.06s,,,,,,,,,,620.73
