Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
42,152,21:19:07.665,21:19:08.695,1030,48337,0.22,1,1004,168,208,628,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,147.5728155339806
43,343,21:19:14.621,21:19:14.853,232,106118,0.48,3,721,127,146,448,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1478.4482758620688
44,339,21:19:23.351,21:19:23.837,486,104820,0.48,2,3401,842,2066,493,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,697.5308641975308
45,78,21:19:24.401,21:19:24.548,147,25462,0.12,1,288,140,60,88,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,530.6122448979592
46,243,21:19:25.953,21:19:26.411,458,75893,0.34,1,411,26,206,179,EA6393FA5F2583CC349632097567530677915183,7344,530.5676855895197
47,80,21:19:27.094,21:19:27.422,328,26073,0.12,1,359,98,104,157,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,243.90243902439025
48,129,21:19:28.809,21:19:29.626,817,41010,0.19,1,772,290,82,400,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,157.89473684210526
49,452,21:19:33.620,21:19:34.300,680,139226,0.63,2,1544,160,295,1089,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,664.7058823529411
50,82,21:19:35.617,21:19:36.470,853,26682,0.12,1,749,180,200,369,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,96.13130128956624
51,157,21:19:41.973,21:19:43.720,1747,49843,0.23,1,3497,130,1842,1525,EA6393FA5F2583CC349632097567530677915183,7344,89.86834573554664
52,310,21:19:49.215,21:19:51.308,2093,95762,0.43,2,1972,433,1176,363,26071B1B972C8EA6036750896F984362760AD4EC,263,148.112756808409
53,244,21:19:55.427,21:19:58.551,3124,75678,0.34,2,2163,484,265,1414,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,78.10499359795134
54,262,21:20:01.840,21:20:03.640,1800,81659,0.37,2,705,126,176,403,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,145.55555555555554
55,56,21:20:07.778,21:20:09.067,1289,18707,0.08,1,2835,320,1859,656,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,43.444530643910014
56,402,21:20:14.502,21:20:16.877,2375,123991,0.56,2,2380,136,1387,857,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,169.26315789473685
57,144,21:20:18.738,21:20:18.848,110,45727,0.21,1,1327,207,832,288,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1309.090909090909
58,193,21:20:20.382,21:20:20.779,397,60746,0.28,1,769,392,170,207,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,486.1460957178841
59,153,21:20:21.722,21:20:22.093,371,48638,0.22,1,479,90,223,166,EA6393FA5F2583CC349632097567530677915183,7344,412.3989218328841
60,122,21:20:25.093,21:20:27.796,2703,39142,0.18,1,2051,285,282,1484,270AE1AAFF5D007C88903B05B34FB40BBA2D2C52,218,45.13503514613393
61,231,21:20:29.072,21:20:29.341,269,72272,0.33,1,620,204,233,183,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,858.7360594795539

SUMMARY,20000,,,50.22s,,,,,,,,,,398.25
