Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,21:05:04.097,21:05:04.186,89,2713,0.01,1,1218,703,214,301,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,375,21:05:06.244,21:05:06.736,492,116609,0.53,1,644,96,242,306,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,762.1951219512196
4,597,21:05:09.610,21:05:09.789,179,183693,0.83,2,518,168,122,228,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,3335.195530726257
5,295,21:05:11.838,21:05:12.078,240,91577,0.42,1,1191,908,108,175,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1229.1666666666667
6,389,21:05:13.986,21:05:14.197,211,120843,0.55,1,839,89,269,481,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1843.6018957345973
7,376,21:05:16.321,21:05:16.494,173,116029,0.53,1,1143,544,144,455,415BBD91477BEC7D20DA51C465B20478F273300B,2074,2173.410404624278
8,260,21:05:18.000,21:05:18.158,158,81672,0.37,1,793,129,142,522,EA6393FA5F2583CC349632097567530677915183,7344,1645.5696202531644
9,350,21:05:19.626,21:05:19.998,372,109041,0.5,1,296,100,116,80,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,940.8602150537635
10,177,21:05:21.145,21:05:21.381,236,56615,0.26,1,582,96,300,186,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,750.0
11,758,21:05:25.623,21:05:25.984,361,232665,1.06,2,1009,160,438,411,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,2099.722991689751
12,262,21:05:27.222,21:05:27.434,212,82276,0.37,1,230,104,68,58,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,1235.8490566037735
13,310,21:05:29.004,21:05:29.265,261,96825,0.44,1,493,120,64,309,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1187.7394636015326
14,300,21:05:30.618,21:05:30.772,154,93703,0.43,1,585,135,218,232,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1948.051948051948
15,205,21:05:32.179,21:05:32.308,129,63682,0.29,1,596,280,146,170,EA6393FA5F2583CC349632097567530677915183,7344,1589.1472868217054
