Block Height,TX Count,Execution Time,Commit Time,Block Duration (ms),Block Size (bytes),Block Space Used (%),Consensus Rounds,Consensus Round Duration (ms),Propose → Prevote,Prevote → Precommit,Precommit → Commit,Proposer Address,Proposer VP,TPS
2,0,21:08:24.275,21:08:24.359,84,2263,0.01,1,343,154,88,101,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,0.0
3,179,21:08:25.897,21:08:26.125,228,57217,0.26,1,485,116,188,181,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,785.0877192982456
4,611,21:08:29.554,21:08:29.765,211,187590,0.85,2,516,127,143,246,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,2895.734597156398
5,308,21:08:31.638,21:08:31.874,236,95605,0.43,1,817,478,153,186,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1305.084745762712
6,248,21:08:33.566,21:08:33.722,156,77156,0.35,1,970,255,229,486,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1589.7435897435898
7,343,21:08:35.445,21:08:35.743,298,106831,0.49,1,779,376,211,192,415BBD91477BEC7D20DA51C465B20478F273300B,2074,1151.006711409396
8,308,21:08:37.094,21:08:37.405,311,95514,0.43,1,476,104,170,202,EA6393FA5F2583CC349632097567530677915183,7344,990.3536977491962
9,263,21:08:38.469,21:08:38.608,139,81611,0.37,1,279,98,105,76,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1892.0863309352517
10,228,21:08:39.776,21:08:39.956,180,71897,0.33,1,506,120,172,214,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1266.6666666666667
11,615,21:08:43.648,21:08:44.003,355,189321,0.86,2,931,119,406,406,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,1732.3943661971832
12,211,21:08:45.281,21:08:45.406,125,66385,0.3,1,598,120,61,417,737B1BA8ACB9AC495C415DD1F19938567BF1C4A5,941,1688.0
13,459,21:08:47.427,21:08:47.739,312,142064,0.65,1,865,143,380,342,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,1471.1538461538462
14,232,21:08:49.130,21:08:49.387,257,73279,0.33,1,472,138,141,193,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,902.7237354085603
15,270,21:08:50.620,21:08:50.832,212,84531,0.38,1,553,95,76,382,EA6393FA5F2583CC349632097567530677915183,7344,1273.5849056603774
16,353,21:08:52.648,21:08:53.423,775,108704,0.49,1,935,383,148,404,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,455.48387096774195
17,1271,21:08:59.878,21:09:00.393,515,388015,1.76,3,1026,394,438,194,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,2467.9611650485435
18,805,21:09:04.084,21:09:04.423,339,246819,1.12,2,830,187,373,270,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,2374.631268436578
19,239,21:09:05.513,21:09:05.656,143,74698,0.34,1,386,110,224,52,0CA11F2CD8979B6B750B312702FD626D29CE9300,874,1671.3286713286714
20,426,21:09:07.406,21:09:07.751,345,131979,0.6,1,696,75,405,216,0C7DCA39FE99C7F55965A7151316BF8FBB04AE11,687,1234.7826086956522
21,157,21:09:09.242,21:09:09.417,175,49583,0.23,1,778,114,274,390,EA6393FA5F2583CC349632097567530677915183,7344,897.1428571428572
22,455,21:09:11.237,21:09:11.651,414,140130,0.64,1,479,88,147,244,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1099.033816425121
23,135,21:09:12.394,21:09:12.528,134,42738,0.19,1,301,175,53,73,E4F41A580F3123D42A2F2B9A50B06E7C6ABDB813,629,1007.4626865671642
24,312,21:09:14.341,21:09:14.685,344,97518,0.44,1,728,38,224,466,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,906.9767441860466
25,238,21:09:15.766,21:09:16.279,513,74926,0.34,1,488,174,205,109,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,463.9376218323587
26,270,21:09:17.755,21:09:17.908,153,84267,0.38,1,585,209,181,195,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,1764.7058823529412
27,692,21:09:21.513,21:09:21.820,307,211688,0.96,2,928,203,433,292,EA6393FA5F2583CC349632097567530677915183,7344,2254.071661237785
28,239,21:09:23.316,21:09:23.755,439,75308,0.34,1,524,217,41,266,EA6393FA5F2583CC349632097567530677915183,7344,544.4191343963554
29,313,21:09:24.932,21:09:25.125,193,97830,0.44,1,459,151,102,206,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1621.761658031088
30,79,21:09:26.336,21:09:26.461,125,26114,0.12,1,643,334,143,166,415BBD91477BEC7D20DA51C465B20478F273300B,2074,632.0
31,223,21:09:27.941,21:09:28.101,160,70552,0.32,1,582,202,181,199,3CF676FF63C72F14324F311BA1D4EDD444B51031,545,1393.75
32,167,21:09:29.270,21:09:29.407,137,53577,0.24,1,379,170,94,115,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1218.9781021897809
33,336,21:09:32.009,21:09:33.511,1502,104439,0.47,2,542,180,190,172,EA6393FA5F2583CC349632097567530677915183,7344,223.7017310252996
34,137,21:09:36.952,21:09:37.129,177,43258,0.2,1,2337,134,1336,867,EA6393FA5F2583CC349632097567530677915183,7344,774.0112994350283
35,85,21:09:37.905,21:09:38.268,363,27403,0.12,0,0,0,0,0,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,234.1597796143251
36,107,21:09:39.677,21:09:40.815,1138,34698,0.16,1,733,106,420,207,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,94.02460456942005
37,127,21:09:45.502,21:09:45.670,168,40745,0.19,1,2901,514,846,1541,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,755.9523809523808
38,174,21:09:56.946,21:09:59.153,2207,54377,0.25,2,1918,396,966,556,EA6393FA5F2583CC349632097567530677915183,7344,78.84005437245129
39,63,21:10:01.926,21:10:02.597,671,20747,0.09,1,1676,278,845,553,EA6393FA5F2583CC349632097567530677915183,7344,93.88971684053651
40,577,21:10:07.361,21:10:08.863,1502,176487,0.8,3,821,172,448,201,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,384.15446071904125
41,300,21:10:12.380,21:10:12.907,527,92990,0.42,2,489,132,196,161,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,569.2599620493359
42,53,21:10:13.570,21:10:13.723,153,18072,0.08,1,375,110,102,163,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,346.4052287581699
43,263,21:10:21.453,21:10:21.755,302,81962,0.37,3,245,71,46,128,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,870.8609271523179
44,245,21:10:27.129,21:10:28.684,1555,75893,0.34,2,2391,187,1287,917,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,157.55627009646304
45,79,21:10:29.439,21:10:29.613,174,26129,0.12,1,461,160,193,108,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,454.02298850574715
46,97,21:10:30.747,21:10:30.914,167,31655,0.14,1,439,156,86,197,EA6393FA5F2583CC349632097567530677915183,7344,580.8383233532934
47,108,21:10:34.065,21:10:36.215,2150,35003,0.16,1,1518,237,607,674,3A0AEEF4F060C65746490149E9EAB868013279FE,4374,50.23255813953489
48,245,21:10:44.582,21:10:44.780,198,76513,0.35,3,1228,141,763,324,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,1237.3737373737374
49,302,21:10:48.461,21:10:50.653,2192,93787,0.43,2,1112,183,239,690,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,137.77372262773721
50,88,21:10:52.893,21:10:53.060,167,28411,0.13,1,1574,174,1187,213,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,526.9461077844311
51,190,21:10:54.377,21:10:54.589,212,59849,0.27,1,445,103,224,118,EA6393FA5F2583CC349632097567530677915183,7344,896.2264150943397
52,267,21:11:03.114,21:11:03.307,193,83180,0.38,3,2066,744,1108,214,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,1383.419689119171
53,102,21:11:04.656,21:11:04.822,166,33187,0.15,1,803,154,370,279,26071B1B972C8EA6036750896F984362760AD4EC,263,614.4578313253012
54,124,21:11:06.794,21:11:07.725,931,39837,0.18,1,1160,387,206,567,6158DEFA4BA11C223F63F9444596188C872EAF75,6167,133.19011815252415
55,103,21:11:09.966,21:11:11.509,1543,33488,0.15,1,1504,170,398,936,0CB428130DA48D3CE919557181A130374AA8D8AA,6922,66.75307841866494
56,179,21:11:20.507,21:11:21.404,897,55893,0.25,2,3611,190,1805,1616,2B7E94220DD8C7AD0F1147DF12123853097DF878,4408,199.5540691192865

SUMMARY,15000,,,27.57s,,,,,,,,,,544.07
